time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2025-07-18,184.76,173.37,176.0,2754635.38,493005880.88,177.36,direct,,SOL
2025-07-19,178.71,174.15,177.36,1527822.78,270528871.82,177.05,direct,,SOL
2025-07-20,183.71,176.43,177.05,2048642.3,369233722.51,181.54,direct,,SOL
2025-07-21,199.45,178.39,181.54,3983580.47,767167569.74,195.82,direct,,SOL
2025-07-22,206.4,193.89,195.82,4248991.63,851563456.61,205.8,direct,,SOL
2025-07-23,205.84,184.1,205.8,2832162.26,545246153.35,189.5,direct,,SOL
2025-07-24,192.02,179.48,189.5,2685397.37,500594161.49,182.97,direct,,SOL
2025-07-25,186.92,175.77,182.97,3047225.19,548134766.85,186.8,direct,,SOL
2025-07-26,189.79,184.43,186.8,986479.52,184124510.84,184.92,direct,,SOL
2025-07-27,190.74,184.62,184.92,1058015.86,198444213.45,188.71,direct,,SOL
2025-07-28,195.31,182.22,188.71,2077635.75,392184056.3,183.13,direct,,SOL
2025-07-29,186.64,178.26,183.13,1547445.62,281675365.23,181.47,direct,,SOL
2025-07-30,182.5,170.45,181.47,1492161.81,264745022.53,177.77,direct,,SOL
2025-07-31,182.67,171.49,177.77,1545370.03,274056279.25,172.22,direct,,SOL
2025-08-01,172.24,159.2,172.22,3092390.35,517751854.06,162.67,direct,,SOL
2025-08-02,165.21,155.81,162.67,1168151.35,187758990.15,158.48,direct,,SOL
2025-08-03,163.13,156.3,158.48,756400.78,121815182.3,162.01,direct,,SOL
2025-08-04,169.83,161.33,162.01,1479618.44,244834590.1,169.57,direct,,SOL
2025-08-05,171.69,161.31,169.57,1244209.67,206575201.16,164.07,direct,,SOL
2025-08-06,169.97,161.19,164.07,1112772.39,184561769.6,168.16,direct,,SOL
2025-08-07,169.02,166.85,168.16,81931.41,13764556.48,167.34,direct,,SOL
2025-07-08,0.1719,0.166,0.168,220960540.07,37452481.16,0.171,direct,,DOGE
2025-07-09,0.1865,0.17,0.171,517942953.26,90643776.35,0.1806,direct,,DOGE
2025-07-10,0.1964,0.1788,0.1806,372025721.06,69046029.45,0.1951,direct,,DOGE
2025-07-11,0.2138,0.1913,0.1951,1038235091.3,211951139.34,0.2012,direct,,DOGE
2025-07-12,0.2065,0.192,0.2012,394961807.49,78517753.99,0.1974,direct,,DOGE
2025-07-13,0.2042,0.1959,0.1974,355547939.2,70958024.49,0.1986,direct,,DOGE
2025-07-14,0.2108,0.1947,0.1986,477524845.65,97010171.34,0.1975,direct,,DOGE
2025-07-15,0.1993,0.1885,0.1975,453945622.39,87782402.87,0.1992,direct,,DOGE
2025-07-16,0.2207,0.1956,0.1992,616589191.1,127395372.81,0.2127,direct,,DOGE
2025-07-17,0.2225,0.2067,0.2127,921664717.88,197220658.21,0.2184,direct,,DOGE
2025-07-18,0.2543,0.2164,0.2184,1276936630.77,302970106.03,0.236,direct,,DOGE
2025-07-19,0.2578,0.2358,0.236,775844969.04,191715757.28,0.2415,direct,,DOGE
2025-07-20,0.2782,0.2401,0.2415,1257012784.49,327315939.19,0.2739,direct,,DOGE
2025-07-21,0.2876,0.2645,0.2739,1384844111.82,380774294.47,0.2716,direct,,DOGE
2025-07-22,0.275,0.2576,0.2716,890531030.16,237042525.77,0.2709,direct,,DOGE
2025-07-23,0.2712,0.2307,0.2709,1080115035.13,267238732.45,0.2408,direct,,DOGE
2025-07-24,0.2468,0.222,0.2408,987355080.03,233692401.85,0.2322,direct,,DOGE
2025-07-25,0.237,0.2209,0.2322,887635559.26,202595424.45,0.2368,direct,,DOGE
2025-07-26,0.2403,0.233,0.2368,324589875.63,77009999.51,0.2355,direct,,DOGE
2025-07-27,0.2438,0.2343,0.2355,467547698.64,111631349.18,0.2408,direct,,DOGE
2025-07-28,0.2486,0.2243,0.2408,538976552.91,127861566.05,0.2261,direct,,DOGE
2025-07-29,0.2327,0.2174,0.2261,510417972.95,114718860.94,0.2239,direct,,DOGE
2025-07-30,0.2265,0.2092,0.2239,492103510.06,107518702.0,0.2199,direct,,DOGE
2025-07-31,0.2256,0.2082,0.2199,425992895.58,92891735.51,0.2098,direct,,DOGE
2025-08-01,0.2125,0.1956,0.2098,869723933.76,178610045.69,0.201,direct,,DOGE
2025-08-02,0.2034,0.1894,0.201,404319973.32,79357679.31,0.191,direct,,DOGE
2025-08-03,0.2004,0.1886,0.191,295981357.18,58216577.67,0.1988,direct,,DOGE
2025-08-04,0.2113,0.1985,0.1988,392447972.64,80194726.51,0.2104,direct,,DOGE
2025-08-05,0.211,0.1961,0.2104,342718999.88,69314930.34,0.1998,direct,,DOGE
2025-08-06,0.2072,0.1956,0.1998,270816524.17,54586643.21,0.2053,direct,,DOGE
2025-08-07,0.2066,0.2036,0.2053,25693992.15,5261798.41,0.2039,direct,,DOGE
2025-07-08,3.475,3.327,3.37,2467391.85,8409580.76,3.448,direct,,DOT
2025-07-09,3.659,3.418,3.448,2500842.83,8800420.05,3.621,direct,,DOT
2025-07-10,3.892,3.592,3.621,3176480.9,11783127.86,3.88,direct,,DOT
2025-07-11,4.108,3.812,3.88,4143055.93,16434070.29,3.909,direct,,DOT
2025-07-12,4.066,3.798,3.909,2361541.69,9251026.16,3.891,direct,,DOT
2025-07-13,4.067,3.877,3.891,1842835.05,7338713.79,3.984,direct,,DOT
2025-07-14,4.196,3.903,3.984,3356230.65,13682886.45,3.951,direct,,DOT
2025-07-15,4.098,3.802,3.951,3021914.14,11904347.72,4.083,direct,,DOT
2025-07-16,4.269,4.013,4.083,3213453.85,13325993.29,4.158,direct,,DOT
2025-07-17,4.304,4.071,4.158,4773382.08,19997715.43,4.26,direct,,DOT
2025-07-18,4.625,4.141,4.26,6215677.98,27421885.32,4.231,direct,,DOT
2025-07-19,4.455,4.136,4.231,1890151.39,8106598.11,4.41,direct,,DOT
2025-07-20,4.587,4.351,4.41,3426705.67,15322389.91,4.482,direct,,DOT
2025-07-21,4.675,4.397,4.482,4674665.71,21231444.75,4.498,direct,,DOT
2025-07-22,4.554,4.282,4.498,5153486.11,22727884.41,4.552,direct,,DOT
2025-07-23,4.552,4.002,4.552,5732914.18,24291913.2,4.114,direct,,DOT
2025-07-24,4.201,3.899,4.114,4376970.0,17741509.39,4.003,direct,,DOT
2025-07-25,4.1,3.865,4.003,3510568.94,13977591.84,4.088,direct,,DOT
2025-07-26,4.197,4.07,4.088,1569665.81,6475300.48,4.126,direct,,DOT
2025-07-27,4.253,4.116,4.126,1645767.5,6877827.77,4.239,direct,,DOT
2025-07-28,4.309,3.933,4.239,2835103.0,11703857.98,3.964,direct,,DOT
2025-07-29,4.081,3.821,3.964,3320741.69,13114702.1,3.904,direct,,DOT
2025-07-30,3.92,3.629,3.904,3348568.55,12732546.14,3.807,direct,,DOT
2025-07-31,3.919,3.668,3.807,2336591.37,8891794.65,3.682,direct,,DOT
