time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol,return,volatility,momentum,tssi,sentiment_disagreement,article_volume,sentiment_momentum,msi
2025-08-07,22.33,22.02,22.23,28939.03,641935.51,22.06,direct,,AVAX,-0.007647323436797193,0.046409091395545804,-0.04543487667676338,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-08,109248.31,107445.04,108277.16,12122.12,1316408874.89,108955.05,direct,,BTC,,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-09,112077.21,108341.92,108955.05,19761.34,2177951432.55,111291.7,direct,,BTC,0.021445999978890296,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-10,116848.31,110555.52,111291.7,31905.27,3616719327.76,116023.34,direct,,BTC,0.04251565929894152,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-11,118890.32,115236.69,116023.34,26050.27,3060911543.15,117573.92,direct,,BTC,0.013364379960101092,,0.07910482350290327,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-12,118239.99,116954.09,117573.92,7395.67,869899617.34,117468.16,direct,,BTC,-0.0008995192131043828,,0.055497939199419255,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-13,119503.56,117264.6,117468.16,9553.52,1133368267.75,119127.66,direct,,BTC,0.014127232434729464,,0.026755995819461864,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-14,123220.28,118951.55,119127.66,31361.7,3784774921.45,119869.01,direct,,BTC,0.006223155898470445,,0.019520400442547103,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-15,119958.94,115709.64,119869.01,50123.19,5881848280.87,117777.9,direct,,BTC,-0.01744495929348211,0.018665838774697643,0.0026367996229785806,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-16,120122.22,117043.92,117777.9,27837.68,3310853209.79,118700.37,direct,,BTC,0.00783228432498806,0.018138315692780328,-0.0035868244201221477,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-17,121020.95,117485.98,118700.37,25218.52,3000532789.4,119282.74,direct,,BTC,0.004906218910690985,0.010759432943603873,-0.004890922182472224,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-18,120911.16,116902.92,119282.74,26111.51,3096339405.33,118025.92,direct,,BTC,-0.010536478286799933,0.011085618392597996,0.002105828003386101,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-19,118572.53,117339.41,118025.92,6706.12,791893576.81,117913.27,direct,,BTC,-0.0009544513611924321,0.011086877118917954,-0.006630981857933427,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-20,118903.91,116533.22,117913.27,9166.19,1081488186.29,117328.61,direct,,BTC,-0.004958390179493843,0.009426285826148625,-0.016382336623052107,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-21,119712.2,116581.7,117328.61,18543.72,2187836280.67,117441.75,direct,,BTC,0.0009643001821977304,0.00884066254134534,-0.004949506006816096,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-22,120298.65,116186.23,117441.75,21981.53,2607540535.18,120023.5,direct,,BTC,0.021983238499085678,0.010434380672238331,0.017896458982097574,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-23,120167.5,117361.89,120023.5,17163.7,2029832616.05,118808.78,direct,,BTC,-0.01012068469924643,0.011157736076274584,0.01261559307657345,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-24,119555.88,117214.42,118808.78,17930.71,2128340080.84,118397.33,direct,,BTC,-0.0034631278934098564,0.011014807567600569,0.008136629435443465,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-25,118523.27,114756.37,118397.33,47767.94,5546818211.88,117644.11,direct,,BTC,-0.006361798868268376,0.01051485274795554,-0.01982436772798657,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-26,118355.11,117143.68,117644.11,10959.83,1291296798.52,117971.27,direct,,BTC,0.002780929704003121,0.01057756072132673,-0.007049226496560257,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-27,119808.28,117872.15,117971.27,10341.68,1228024808.19,119468.71,direct,,BTC,0.012693259977619942,0.011248498919549006,0.00904902162911947,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-28,119835.44,117403.28,119468.71,18092.6,2142740462.44,118059.92,direct,,BTC,-0.011792125318838775,0.01252590554897779,0.0035344735915805447,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-29,119285.96,116933.73,118059.92,17580.06,2073820445.19,117942.11,direct,,BTC,-0.0009978831088484075,0.008378853598125303,-0.00024717882582769857,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-30,118800.1,115769.47,117942.11,18335.33,2153325010.48,117853.3,direct,,BTC,-0.0007529965336383615,0.0076706535767231,-0.013521615827273958,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-31,118927.15,115493.77,117853.3,16934.89,1991848800.07,115765.36,direct,,BTC,-0.01771643220851693,0.009947726963628027,-0.019435554420162204,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-01,116060.68,112682.82,115765.36,33588.86,3851719228.71,113263.48,direct,,BTC,-0.021611646178096855,0.012183424316743937,-0.03966886805738856,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-02,114033.98,112006.36,113263.48,12452.57,1407609649.0,112546.32,direct,,BTC,-0.0063317849672285265,0.011645757743428978,-0.04503038947572957,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-03,114803.51,111925.95,112546.32,8326.85,947196437.08,114238.83,direct,,BTC,0.015038341546840472,0.012309561324399492,-0.013186414312536976,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-04,115744.56,114140.41,114238.83,14470.62,1662390456.96,115065.9,direct,,BTC,0.007239832550806069,0.012980249370254101,0.01591351422364906,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-05,115111.39,112629.49,115065.9,16922.91,1925704360.18,114127.63,direct,,BTC,-0.008154196855888585,0.013023777579584618,0.014050303910425388,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-06,115748.22,113364.73,114127.63,14480.66,1659630182.7,115038.45,direct,,BTC,0.007980714223190244,0.013847458295663992,0.006999546476447627,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-07,115224.01,114445.1,115038.45,965.76,110920620.54,114536.1,direct,,BTC,-0.004366800839197604,0.012383418419418764,-0.0046043180473102074,0.3507088888888889,0.29315099094632185,18.0,0.3507088888888889,0.733296
2025-07-08,0.1719,0.166,0.168,220960540.07,37452481.16,0.171,direct,,DOGE,,,,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-09,0.1865,0.17,0.171,517942953.26,90643776.35,0.1806,direct,,DOGE,0.056140350877192935,,,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-10,0.1964,0.1788,0.1806,372025721.06,69046029.45,0.1951,direct,,DOGE,0.08028792912513838,,,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-11,0.2138,0.1913,0.1951,1038235091.3,211951139.34,0.2012,direct,,DOGE,0.03126601742696056,,0.17660818713450288,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-12,0.2065,0.192,0.2012,394961807.49,78517753.99,0.1974,direct,,DOGE,-0.0188866799204771,,0.09302325581395343,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-13,0.2042,0.1959,0.1974,355547939.2,70958024.49,0.1986,direct,,DOGE,0.006079027355623046,,0.01793951819579709,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-14,0.2108,0.1947,0.1986,477524845.65,97010171.34,0.1975,direct,,DOGE,-0.0055387713997985255,,-0.018389662027832876,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-15,0.1993,0.1885,0.1975,453945622.39,87782402.87,0.1992,direct,,DOGE,0.008607594936708818,0.035377979551313755,0.00911854103343468,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-16,0.2207,0.1956,0.1992,616589191.1,127395372.81,0.2127,direct,,DOGE,0.06777108433734935,0.03743119930689095,0.07099697885196377,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-17,0.2225,0.2067,0.2127,921664717.88,197220658.21,0.2184,direct,,DOGE,0.026798307475317307,0.028465110052451784,0.10582278481012652,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-18,0.2543,0.2164,0.2184,1276936630.77,302970106.03,0.236,direct,,DOGE,0.08058608058608052,0.03740468597925844,0.18473895582329325,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-19,0.2578,0.2358,0.236,775844969.04,191715757.28,0.2415,direct,,DOGE,0.02330508474576276,0.03248772635905666,0.13540197461212977,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-20,0.2782,0.2401,0.2415,1257012784.49,327315939.19,0.2739,direct,,DOGE,0.1341614906832298,0.048911568969053666,0.2541208791208789,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-21,0.2876,0.2645,0.2739,1384844111.82,380774294.47,0.2716,direct,,DOGE,-0.008397225264694996,0.049441677310632065,0.15084745762711882,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-22,0.275,0.2576,0.2716,890531030.16,237042525.77,0.2709,direct,,DOGE,-0.002577319587628968,0.05106398933601665,0.12173913043478257,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-23,0.2712,0.2307,0.2709,1080115035.13,267238732.45,0.2408,direct,,DOGE,-0.11111111111111105,0.07666575559621551,-0.12084702446148232,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-24,0.2468,0.222,0.2408,987355080.03,233692401.85,0.2322,direct,,DOGE,-0.0357142857142857,0.07938810045267919,-0.14506627393225335,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
